,Weekly Fuel Price Update,RON95,RON97,Diesel
65,"August 17 – August 23, 2019",RM2.08 (RM0),RM2.49 (RM0),RM2.18 (RM0)
66,"August 10 – August 16, 2019",RM2.08 (RM0),RM2.49 (-RM0.05),RM2.18 (RM0)
67,"August 3 – August 9, 2019",RM2.08 (RM0),RM2.54 (-RM0.02),RM2.18 (RM0)
68,"July 27 – August 2, 2019",RM2.08 (RM0),RM2.56 (-RM0.11),RM2.18 (RM0)
69,"July 20 – July 26, 2019",RM2.08 (RM0),RM2.67 (+RM0.10),RM2.18 (RM0)
70,"July 13 – July 19, 2019",RM2.08 (RM0),RM2.57 (+RM0.04),RM2.18 (RM0)
71,"July 6 – July 12, 2019",RM2.08 (RM0),RM2.53 (+RM0.04),RM2.18 (RM0)
72,"June 29 – July 5, 2019",RM2.08 (RM0),RM2.49 (+RM0.11),RM2.18 (RM0)
73,"June 22 – June 28, 2019",RM2.08 (RM0),RM2.38 (-RM0.03),RM2.18 (RM0)
74,"June 15 – June 21, 2019",RM2.08 (RM0),RM2.41 (-RM0.22),RM2.18 (RM0)
75,"June 1 – June 14, 2019",RM2.08 (RM0),RM2.63 (-RM0.13),RM2.18 (RM0)
76,"May 25 – May 31, 2019",RM2.08 (RM0),RM2.76 (+RM0.08),RM2.18 (RM0)
77,"May 18 – May 24, 2019",RM2.08 (RM0),RM2.68 (-RM0.02),RM2.18 (RM0)
78,"May 11 – May 17, 2019",RM2.08 (RM0),RM2.70 (-RM0.10),RM2.18 (RM0)
79,"May 4 – May 10, 2019",RM2.08 (RM0),RM2.80 (-RM0.01),RM2.18 (RM0)
80,"April 27 – May 3, 2019",RM2.08 (RM0),RM2.81 (+RM0.01),RM2.18 (RM0)
81,"April 20 – April 26, 2019",RM2.08 (RM0),RM2.80 (+RM0.12),RM2.18 (RM0)
82,"April 13 – April 19, 2019",RM2.08 (RM0),RM2.68 (+RM0.05),RM2.18 (RM0)
83,"April 6 – April 12, 2019",RM2.08 (RM0),RM2.63 (RM0),RM2.18 (RM0)
84,"March 30 – April 5, 2019",RM2.08 (RM0),RM2.63 (+RM0.02),RM2.18 (RM0)
85,"March 23 – March 29, 2019",RM2.08 (RM0),RM2.61 (+RM0.07),RM2.18 (RM0)
86,"March 16 – March 22, 2019",RM2.08 (RM0),RM2.54 (+RM0.08),RM2.18 (RM0)
87,"March 9 – March 15, 2019",RM2.08 (RM0),RM2.46 (+RM0.03),RM2.18 (RM0)
88,"March 2 – March 8, 2019",RM2.08 (RM0),RM2.43 (+RM0.05),RM2.18 (RM0)
89,"February 23 – March 1, 2019",RM2.08 (+RM0.10),RM2.38 (+RM0.10),RM2.18 (RM0)
90,"February 16 – February 22, 2019",RM1.98 (+RM0.01),RM2.28 (+RM0.01),RM2.18 (RM0)
91,"February 9 – February 15, 2019",RM1.97 (+RM0.04),RM2.27 (+RM0.04),RM2.18 (RM0)
92,"February 2 – February 8, 2019",RM1.93 (-RM0.05),RM2.23 (-RM0.05),RM2.18 (RM0)
93,"January 26 – Feb 1, 2019",RM1.98 (RM0),RM2.28 (RM0),RM2.18 (+RM0.01)
94,"January 19 – January 25, 2019",RM1.98 (+RM0.06),RM2.28 (+RM0.06),RM2.17 (+RM0.12)
95,"January 12 – January 18, 2019",RM1.92 (-RM0.01),RM2.22 (-RM0.01),RM2.05 (+RM0.01)
96,"January 4 – January 11, 2019",RM1.93 (-RM0.27),RM2.23 (-RM0.27),RM2.04 (-RM0.14)
97,"December 1 – December 31, 2018",RM2.20 (maintain),RM2.50 (+RM0.31),RM2.18 (maintain)
98,"November 1 – November 30, 2018",RM2.20 (maintain),RM2.81 (+RM0.02),RM2.18 (maintain)
99,"October 1 – October 31, 2018",RM2.20 (maintain),RM2.79 (+RM0.14),RM2.18 (maintain)
100,"September 1 – September 30, 2018",RM2.20 (maintain),RM2.65 (-RM0.04),RM2.18 (maintain)
101,"August 30 – August 31, 2018",RM2.20 (maintain),RM2.69 (+RM0.04),RM2.18 (maintain)
102,"August 23 – August 29, 2018",RM2.20 (maintain),RM2.65 (maintain),RM2.18 (maintain)
103,"August 16 – August 22, 2018",RM2.20 (maintain),RM2.65 (+RM0.04),RM2.18 (maintain)
104,"August 9 – August 15, 2018",RM2.20 (maintain),RM2.61 (-RM0.03),RM2.18 (maintain)
105,"August 2 – August 8, 2018",RM2.20 (maintain),RM2.64 (+RM0.10),RM2.18 (maintain)
106,"July 26th – August 1, 2018",RM2.20 (maintain),RM2.54 (-RM0.02),RM2.18 (maintain)
107,"July 19th – July 25th, 2018",RM2.20 (maintain),RM2.56 (-RM0.03),RM2.18 (maintain)
108,"July 12th – July 18th, 2018",RM2.20 (maintain),RM2.59 (+RM0.01),RM2.18 (maintain)
109,"July 5th – July 11th, 2018",RM2.20 (maintain),RM2.58 (+RM0.08),RM2.18 (maintain)
110,"June 28th – July 4th, 2018",RM2.20 (maintain),RM2.50 (-RM0.09),RM2.18 (maintain)
111,"June 21st – June 27th, 2018",RM2.20 (maintain),RM2.59 (-RM0.01),RM2.18 (maintain)
112,"June 14th – June 20th, 2018",RM2.20 (maintain),RM2.60 (-RM0.06),RM2.18 (maintain)
113,"June 7th – June 13th, 2018",RM2.20 (maintain),RM2.66 (+RM0.19),RM2.18 (maintain)
114,"May 16th – June 7th, 2018",RM2.20 (maintain),RM2.47 (maintain),RM2.18 (maintain)
115,"May 10th – May 16th, 2018",RM2.20 (maintain),RM2.47 (maintain),RM2.18 (maintain)
116,"May 3rd – May 9th, 2018",RM2.20 (maintain),RM2.47 (maintain),RM2.18 (maintain)
117,"April 26th – May 2nd, 2018",RM2.20 (maintain),RM2.47 (maintain),RM2.18 (maintain)
118,"April 19th – 25th, 2018",RM2.20 (maintain),RM2.47 (maintain),RM2.18 (maintain)
119,"April 12th – 18th, 2018",RM2.20 (maintain),RM2.47 (maintain),RM2.18 (maintain)
120,"April 5th – 11th, 2018",RM2.20 (maintain),RM2.47 (maintain),RM2.18 (maintain)
121,"March 29th – April 4th, 2018",RM2.20 (maintain),RM2.47 (maintain),RM2.18 (maintain)
122,"March 22nd – 28th, 2018",RM2.20 (+RM0.02),RM2.47 (+RM0.02),RM2.18 (+RM0.02)
123,"March 15th – 21st, 2018",RM2.18 (-RM0.03),RM2.45 (-RM0.02),RM2.16 (-RM0.01)
124,"March 8th – 14th, 2018",RM2.21 (+RM0.01),RM2.47 (maintain),RM2.17 (-RM0.01)
125,"March 1st – 7th, 2018",RM2.20 (+RM0.03),RM2.47 (+RM0.04),RM2.18 (+RM0.05)
126,"February 22nd – 28th, 2018",RM2.17 (-RM0.06),RM2.43 (-RM0.07),RM2.13 (-RM0.06)
127,"February 15th – 21st, 2018",RM2.23 (-RM0.10),RM2.50 (-RM0.11),RM2.19 (-RM0.12)
128,"February 8th – 14th, 2018",RM2.33 (+RM0.02),RM2.61 (+RM0.03),RM2.31 (-RM0.03)
129,"February 1st – 7th, 2018",RM2.31 (+RM0.02),RM2.58 (+RM0.02),RM2.34 (+RM0.03)
130,"January 25th – 31st, 2018",RM2.29 (-RM0.01),RM2.56 (-RM0.01),RM2.31 (-RM0.01)
131,"January 18th – 24th, 2018",,,
132,"January 11th – 17th, 2018",RM2.26 (-RM0.03),RM2.53 (-RM0.03),RM2.32 (maintain)
133,"January 4th – 10th, 2018",RM2.29 (+RM0.03),RM2.56 (+RM0.03),RM2.32 (+RM0.06)
